Currency,Cash (Sell),Cash (Buy),Transfer (Sell),Transfer (Buy),Date,Currency_cleaned
POUND£,121.8500,121.0500,121.6000,121.3000,10/06/2021,POUND£
SWISS₣,93.8600,93.3600,93.7100,93.5100,10/06/2021,SWISS₣
INDIAN Rs.,1.0990,1.0890,1.0960,1.0920,10/06/2021,INDIAN Rs.
PAKISTAN Rs.,0.5047,0.4967,0.5017,0.4997,10/06/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,10/06/2021,IRAN Toman
CNY¥,12.8500,12.4500,12.7500,12.5500,10/06/2021,CNY¥
UAE DIRHAM,24.3600,24.2600,24.3400,24.2800,10/06/2021,UAE DIRHAM
SAUDI RIYAL,23.7400,23.6400,23.7200,23.6600,10/06/2021,SAUDI RIYAL
USD$,90.8083,90.6083,90.7583,90.6583,10/07/2021,USD$
EURO€,104.6333,104.0333,104.4633,104.2033,10/07/2021,EURO€
POUND£,121.8083,121.0083,121.5583,121.2583,10/07/2021,POUND£
SWISS₣,94.2667,93.7667,94.1167,93.9167,10/07/2021,SWISS₣
INDIAN Rs.,1.0997,1.0897,1.0967,1.0927,10/07/2021,INDIAN Rs.
PAKISTAN Rs.,0.5032,0.4952,0.5002,0.4982,10/07/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,10/07/2021,IRAN Toman
CNY¥,12.6750,12.2750,12.5750,12.3750,10/07/2021,CNY¥
UAE DIRHAM,24.3700,24.2700,24.3500,24.2900,10/07/2021,UAE DIRHAM
SAUDI RIYAL,23.7600,23.6600,23.7400,23.6800,10/07/2021,SAUDI RIYAL
USD$,90.6000,90.4000,90.5500,90.4500,10/09/2021,USD$
EURO€,104.2100,103.6100,104.0400,103.7800,10/09/2021,EURO€
POUND£,121.7625,120.9625,121.5125,121.2125,10/09/2021,POUND£
SWISS₣,94.6429,94.1429,94.4929,94.2929,10/09/2021,SWISS₣
INDIAN Rs.,1.0760,1.0660,1.0730,1.0690,10/09/2021,INDIAN Rs.
PAKISTAN Rs.,0.5051,0.4971,0.5021,0.5001,10/09/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,10/09/2021,IRAN Toman
CNY¥,12.7000,12.3000,12.6000,12.4000,10/09/2021,CNY¥
UAE DIRHAM,24.3250,24.2250,24.3050,24.2450,10/09/2021,UAE DIRHAM
SAUDI RIYAL,23.7929,23.6929,23.7729,23.7129,10/09/2021,SAUDI RIYAL
USD$,90.0914,89.8914,90.0414,89.9414,10/10/2021,USD$
EURO€,103.6956,103.0956,103.5256,103.2656,10/10/2021,EURO€
POUND£,121.2804,120.4804,121.0304,120.7304,10/10/2021,POUND£
SWISS₣,94.8554,94.3554,94.7054,94.5054,10/10/2021,SWISS₣
INDIAN Rs.,1.0851,1.0751,1.0821,1.0781,10/10/2021,INDIAN Rs.
PAKISTAN Rs.,0.5053,0.4973,0.5023,0.5003,10/10/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,10/10/2021,IRAN Toman
CNY¥,12.7336,12.3336,12.6336,12.4336,10/10/2021,CNY¥
UAE DIRHAM,24.1083,24.0083,24.0883,24.0283,10/10/2021,UAE DIRHAM
SAUDI RIYAL,23.5437,23.4437,23.5237,23.4637,10/10/2021,SAUDI RIYAL
USD$,90.0964,89.8964,90.0464,89.9464,10/11/2021,USD$
EURO€,103.6929,103.0929,103.5229,103.2629,10/11/2021,EURO€
POUND£,121.0600,120.2600,120.8100,120.5100,10/11/2021,POUND£
SWISS₣,94.7792,94.2792,94.6292,94.4292,10/11/2021,SWISS₣
INDIAN Rs.,1.0890,1.0790,1.0860,1.0820,10/11/2021,INDIAN Rs.
PAKISTAN Rs.,0.5050,0.4970,0.5020,0.5000,10/11/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,10/11/2021,IRAN Toman
CNY¥,12.5300,12.1300,12.4300,12.2300,10/11/2021,CNY¥
UAE DIRHAM,24.0286,23.9286,24.0086,23.9486,10/11/2021,UAE DIRHAM
SAUDI RIYAL,23.6214,23.5214,23.6014,23.5414,10/11/2021,SAUDI RIYAL
USD$,90.3438,90.1438,90.2938,90.1938,10/12/2021,USD$
EURO€,103.5800,102.9800,103.4100,103.1500,10/12/2021,EURO€
POUND£,121.2250,120.4250,120.9750,120.6750,10/12/2021,POUND£
SWISS₣,94.1350,93.6350,93.9850,93.7850,10/12/2021,SWISS₣
INDIAN Rs.,1.0990,1.0890,1.0960,1.0920,10/12/2021,INDIAN Rs.
PAKISTAN Rs.,0.5057,0.4977,0.5027,0.5007,10/12/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/12/2021,IRAN Toman
CNY¥,13.0167,12.6167,12.9167,12.7167,10/12/2021,CNY¥
UAE DIRHAM,24.3900,24.2900,24.3700,24.3100,10/12/2021,UAE DIRHAM
SAUDI RIYAL,23.6400,23.5400,23.6200,23.5600,10/12/2021,SAUDI RIYAL
USD$,90.0857,89.8857,90.0357,89.9357,10/13/2021,USD$
EURO€,103.0786,102.4786,102.9086,102.6486,10/13/2021,EURO€
POUND£,120.9250,120.1250,120.6750,120.3750,10/13/2021,POUND£
SWISS₣,94.4083,93.9083,94.2583,94.0583,10/13/2021,SWISS₣
INDIAN Rs.,1.0967,1.0867,1.0937,1.0897,10/13/2021,INDIAN Rs.
PAKISTAN Rs.,0.5054,0.4974,0.5024,0.5004,10/13/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/13/2021,IRAN Toman
CNY¥,12.8071,12.4071,12.7071,12.5071,10/13/2021,CNY¥
UAE DIRHAM,24.0950,23.9950,24.0750,24.0150,10/13/2021,UAE DIRHAM
SAUDI RIYAL,23.5250,23.4250,23.5050,23.4450,10/13/2021,SAUDI RIYAL
USD$,89.5417,89.3417,89.4917,89.3917,10/14/2021,USD$
EURO€,102.7625,102.1625,102.5925,102.3325,10/14/2021,EURO€
POUND£,120.9000,120.1000,120.6500,120.3500,10/14/2021,POUND£
SWISS₣,94.2000,93.7000,94.0500,93.8500,10/14/2021,SWISS₣
INDIAN Rs.,1.0875,1.0775,1.0845,1.0805,10/14/2021,INDIAN Rs.
PAKISTAN Rs.,0.5038,0.4958,0.5008,0.4988,10/14/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/14/2021,IRAN Toman
CNY¥,12.8500,12.4500,12.7500,12.5500,10/14/2021,CNY¥
UAE DIRHAM,24.1125,24.0125,24.0925,24.0325,10/14/2021,UAE DIRHAM
SAUDI RIYAL,23.5900,23.4900,23.5700,23.5100,10/14/2021,SAUDI RIYAL
USD$,89.5708,89.3708,89.5208,89.4208,10/16/2021,USD$
EURO€,103.2143,102.6143,103.0443,102.7843,10/16/2021,EURO€
POUND£,121.0036,120.2036,120.7536,120.4536,10/16/2021,POUND£
SWISS₣,94.0700,93.5700,93.9200,93.7200,10/16/2021,SWISS₣
INDIAN Rs.,1.01021,1.0921,1.0991,1.0951,10/16/2021,INDIAN Rs.
PAKISTAN Rs.,0.5044,0.4964,0.5014,0.4994,10/16/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/16/2021,IRAN Toman
CNY¥,13.0571,12.6571,12.9571,12.7571,10/16/2021,CNY¥
UAE DIRHAM,24.0500,23.9500,24.0300,23.9700,10/16/2021,UAE DIRHAM
SAUDI RIYAL,23.4700,23.3700,23.4500,23.3900,10/16/2021,SAUDI RIYAL
USD$,89.6438,89.4438,89.5938,89.4938,10/17/2021,USD$
EURO€,103.0167,102.4167,102.8467,102.5867,10/17/2021,EURO€
POUND£,120.9500,120.1500,120.7000,120.4000,10/17/2021,POUND£
SWISS₣,93.7667,93.2667,93.6167,93.4167,10/17/2021,SWISS₣
INDIAN Rs.,1.1131,1.1031,1.1101,1.1061,10/17/2021,INDIAN Rs.
PAKISTAN Rs.,0.5044,0.4964,0.5014,0.4994,10/17/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/17/2021,IRAN Toman
CNY¥,12.7250,12.3250,12.6250,12.4250,10/17/2021,CNY¥
UAE DIRHAM,23.9667,23.8667,23.9467,23.8867,10/17/2021,UAE DIRHAM
SAUDI RIYAL,23.5333,23.4333,23.5133,23.4533,10/17/2021,SAUDI RIYAL
USD$,89.7667,89.5667,89.7167,89.6167,10/18/2021,USD$
EURO€,103.2833,102.6833,103.1133,102.8533,10/18/2021,EURO€
POUND£,121.0875,120.2875,120.8375,120.5375,10/18/2021,POUND£
SWISS₣,94.0000,93.5000,93.8500,93.6500,10/18/2021,SWISS₣
INDIAN Rs.,1.1113,1.1013,1.1083,1.1043,10/18/2021,INDIAN Rs.
PAKISTAN Rs.,0.5035,0.4955,0.5005,0.4985,10/18/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/18/2021,IRAN Toman
CNY¥,13.2167,12.8167,13.1167,12.9167,10/18/2021,CNY¥
UAE DIRHAM,24.1667,24.0667,24.1467,24.0867,10/18/2021,UAE DIRHAM
SAUDI RIYAL,23.6125,23.5125,23.5925,23.5325,10/18/2021,SAUDI RIYAL
USD$,90.0600,89.8600,90.0100,89.9100,10/20/2021,USD$
EURO€,103.4875,102.8875,103.3175,103.0575,10/20/2021,EURO€
POUND£,121.7500,120.9500,121.5000,121.2000,10/20/2021,POUND£
SWISS₣,93.3200,92.8200,93.1700,92.9700,10/20/2021,SWISS₣
INDIAN Rs.,1.1292,1.1192,1.1262,1.1222,10/20/2021,INDIAN Rs.
PAKISTAN Rs.,0.5030,0.4950,0.5000,0.4980,10/20/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,10/20/2021,IRAN Toman
CNY¥,13.2600,12.8600,13.1600,12.9600,10/20/2021,CNY¥
UAE DIRHAM,24.1467,24.0667,24.1467,24.0867,10/20/2021,UAE DIRHAM
SAUDI RIYAL,23.6333,23.5333,23.6133,23.5533,10/20/2021,SAUDI RIYAL
USD$,90.0125,89.8125,89.9625,89.8625,10/21/2021,USD$
EURO€,103.9125,103.3125,103.7425,103.4825,10/21/2021,EURO€
POUND£,121.5750,120.7750,121.3250,121.0250,10/21/2021,POUND£
SWISS₣,94.4833,93.9833,94.3333,94.1333,10/21/2021,SWISS₣
INDIAN Rs.,1.0825,1.0725,1.0795,1.0755,10/21/2021,INDIAN Rs.
PAKISTAN Rs.,0.5013,0.4933,0.4983,0.4963,10/21/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/21/2021,IRAN Toman
CNY¥,13.8167,13.4167,13.7167,13.5167,10/21/2021,CNY¥
UAE DIRHAM,24.1125,24.0125,24.0925,24.0325,10/21/2021,UAE DIRHAM
SAUDI RIYAL,23.6250,23.5250,23.6050,23.5450,10/21/2021,SAUDI RIYAL
USD$,90.0188,89.8188,89.9688,89.8688,10/23/2021,USD$
EURO€,103.7500,103.1500,103.5800,103.3200,10/23/2021,EURO€
POUND£,121.4950,120.6950,121.2450,120.9450,10/23/2021,POUND£
SWISS₣,93.6500,93.1500,93.5000,93.3000,10/23/2021,SWISS₣
INDIAN Rs.,1.1181,1.1081,1.1151,1.1111,10/23/2021,INDIAN Rs.
PAKISTAN Rs.,0.5024,0.4944,0.4994,0.4974,10/23/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,10/23/2021,IRAN Toman
CNY¥,12.8000,12.4000,12.7000,12.5000,10/23/2021,CNY¥
UAE DIRHAM,24.2250,24.1250,24.2050,24.1450,10/23/2021,UAE DIRHAM
SAUDI RIYAL,23.5833,23.4833,23.5633,23.5033,10/23/2021,SAUDI RIYAL
USD$,90.1583,89.9583,90.1083,90.0083,10/24/2021,USD$
EURO€,103.7800,103.1800,103.6100,103.3500,10/24/2021,EURO€
POUND£,121.7300,120.9300,121.4800,121.1800,10/24/2021,POUND£
SWISS₣,94.8500,94.3500,94.7000,94.5000,10/24/2021,SWISS₣
INDIAN Rs.,1.1155,1.1055,1.1125,1.1085,10/24/2021,INDIAN Rs.
PAKISTAN Rs.,0.5003,0.4923,0.4973,0.4953,10/24/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/24/2021,IRAN Toman
CNY¥,13.0500,12.6500,12.9500,12.7500,10/24/2021,CNY¥
UAE DIRHAM,24.2400,24.1400,24.2200,24.1600,10/24/2021,UAE DIRHAM
SAUDI RIYAL,23.6900,23.5900,23.6700,23.6100,10/24/2021,SAUDI RIYAL
USD$,90.5375,90.3375,90.4875,90.3875,10/25/2021,USD$
EURO€,104.1167,103.5167,103.9467,103.6867,10/25/2021,EURO€
POUND£,122.5375,121.7375,122.2875,121.9875,10/25/2021,POUND£
SWISS₣,94.7417,94.2417,94.5917,94.3917,10/25/2021,SWISS₣
INDIAN Rs.,1.1126,1.1029,1.1099,1.1059,10/25/2021,INDIAN Rs.
PAKISTAN Rs.,0.4996,0.4916,0.4966,0.4946,10/25/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,10/25/2021,IRAN Toman
CNY¥,13.3200,12.9200,13.2200,13.0200,10/25/2021,CNY¥
UAE DIRHAM,24.2600,24.1600,24.2400,24.1800,10/25/2021,UAE DIRHAM
SAUDI RIYAL,23.7750,23.6750,23.7550,23.6950,10/25/2021,SAUDI RIYAL
USD$,91.0083,90.8083,90.9583,90.8583,10/26/2021,USD$
EURO€,104.2571,103.6571,104.0871,103.8271,10/26/2021,EURO€
POUND£,122.6800,121.8800,122.4300,122.1300,10/26/2021,POUND£
SWISS₣,94.9800,94.4800,94.8300,94.6300,10/26/2021,SWISS₣
INDIAN Rs.,1.1133,1.1033,1.1103,1.1063,10/26/2021,INDIAN Rs.
PAKISTAN Rs.,0.4998,0.4918,0.4968,0.4948,10/26/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/26/2021,IRAN Toman
CNY¥,13.2500,12.8500,13.1500,12.9500,10/26/2021,CNY¥
UAE DIRHAM,24.3333,24.2333,24.3133,24.2533,10/26/2021,UAE DIRHAM
SAUDI RIYAL,23.8500,23.7500,23.8300,23.7700,10/26/2021,SAUDI RIYAL
USD$,91.3167,91.1167,91.2667,91.1667,10/27/2021,USD$
EURO€,104.7250,104.1250,104.5550,104.2950,10/27/2021,EURO€
POUND£,122.3500,121.5500,122.1000,121.8000,10/27/2021,POUND£
SWISS₣,95.1000,94.6000,94.9500,94.7500,10/27/2021,SWISS₣
INDIAN Rs.,1.1217,1.1117,1.1187,1.1147,10/27/2021,INDIAN Rs.
PAKISTAN Rs.,0.4945,0.4865,0.4915,0.4895,10/27/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/27/2021,IRAN Toman
CNY¥,13.1167,12.7167,13.0167,12.8167,10/27/2021,CNY¥
UAE DIRHAM,24.3500,24.2500,24.3300,24.2700,10/27/2021,UAE DIRHAM
SAUDI RIYAL,23.8083,23.7083,23.7883,23.7283,10/27/2021,SAUDI RIYAL
USD$,90.8375,90.6375,90.7875,90.6875,10/28/2021,USD$
EURO€,104.2750,103.6750,104.1050,103.8450,10/28/2021,EURO€
POUND£,122.1000,121.3000,121.8500,121.5500,10/28/2021,POUND£
SWISS₣,95.0100,94.5100,94.8600,94.6600,10/28/2021,SWISS₣
INDIAN Rs.,1.0980,1.0880,1.0950,1.0910,10/28/2021,INDIAN Rs.
PAKISTAN Rs.,0.4978,0.4898,0.4948,0.4928,10/28/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,10/28/2021,IRAN Toman
CNY¥,13.0000,12.6000,12.9000,12.7000,10/28/2021,CNY¥
UAE DIRHAM,24.4000,24.3000,24.3800,24.3200,10/28/2021,UAE DIRHAM
SAUDI RIYAL,24.0667,23.9667,24.0467,23.9867,10/28/2021,SAUDI RIYAL
USD$,90.6417,90.4417,90.5917,90.4917,10/30/2021,USD$
EURO€,103.9875,103.3875,103.8175,103.5575,10/30/2021,EURO€
POUND£,122.1875,121.3875,121.9375,121.6375,10/30/2021,POUND£
SWISS₣,94.6667,94.1667,94.5167,94.3167,10/30/2021,SWISS₣
INDIAN Rs.,1.1213,1.1113,1.1183,1.1143,10/30/2021,INDIAN Rs.
PAKISTAN Rs.,0.5025,0.4945,0.4995,0.4975,10/30/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/30/2021,IRAN Toman
CNY¥,13.4500,13.0500,13.3500,13.1500,10/30/2021,CNY¥
UAE DIRHAM,24.2167,24.1167,24.1967,24.1367,10/30/2021,UAE DIRHAM
SAUDI RIYAL,23.7375,23.6375,23.7175,23.6575,10/30/2021,SAUDI RIYAL
USD$,90.7500,90.5500,90.7000,90.6000,10/31/2021,USD$
EURO€,103.7625,103.1625,103.5925,103.3325,10/31/2021,EURO€
POUND£,122.1833,121.3833,121.9333,121.6333,10/31/2021,POUND£
SWISS₣,94.8000,94.3000,94.6500,94.4500,10/31/2021,SWISS₣
INDIAN Rs.,1.1188,1.1088,1.1158,1.1118,10/31/2021,INDIAN Rs.
PAKISTAN Rs.,0.5092,0.5012,0.5062,0.5042,10/31/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,10/31/2021,IRAN Toman
CNY¥,13.4850,13.0750,13.3750,13.1750,10/31/2021,CNY¥
UAE DIRHAM,24.1000,24.0000,24.0800,24.0200,10/31/2021,UAE DIRHAM
SAUDI RIYAL,23.7750,23.6750,23.7550,23.6950,10/31/2021,SAUDI RIYAL
USD$,90.9292,90.7292,90.8792,90.7792,11/01/2021,USD$
EURO€,104.0500,103.4500,103.8800,103.6200,11/01/2021,EURO€
POUND£,121.6167,120.8167,121.3667,121.0667,11/01/2021,POUND£
SWISS₣,94.7833,94.2833,94.6333,94.4333,11/01/2021,SWISS₣
INDIAN Rs.,1.1040,1.0940,1.1010,1.0970,11/01/2021,INDIAN Rs.
PAKISTAN Rs.,0.5076,0.4996,0.5046,0.5026,11/01/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,11/01/2021,IRAN Toman
CNY¥,13.2600,12.8600,13.1600,12.9600,11/01/2021,CNY¥
UAE DIRHAM,24.1750,24.0750,24.1550,24.0950,11/01/2021,UAE DIRHAM
SAUDI RIYAL,23.9333,23.8333,23.9133,23.8533,11/01/2021,SAUDI RIYAL
USD$,91.1725,90.9725,90.1225,90.0225,11/02/2021,USD$
EURO€,103.8083,103.2083,103.6383,103.3783,11/02/2021,EURO€
POUND£,121.3900,120.5900,121.1400,120.8400,11/02/2021,POUND£
SWISS₣,94.7400,94.2400,94.5900,94.3900,11/02/2021,SWISS₣
INDIAN Rs.,1.1015,1.0915,1.0985,1.0945,11/02/2021,INDIAN Rs.
PAKISTAN Rs.,0.5087,0.5007,0.5057,0.5037,11/02/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,11/02/2021,IRAN Toman
CNY¥,13.2600,12.8600,13.1600,12.9600,11/02/2021,CNY¥
UAE DIRHAM,24.1900,24.0900,24.1700,24.1100,11/02/2021,UAE DIRHAM
SAUDI RIYAL,23.9417,23.8417,23.9217,23.8617,11/02/2021,SAUDI RIYAL
USD$,91.1250,90.9250,91.0750,90.9750,11/03/2021,USD$
EURO€,104.2625,103.6625,104.0925,103.8325,11/03/2021,EURO€
POUND£,121.4167,120.6167,121.1667,120.8667,11/03/2021,POUND£
SWISS₣,95.5833,95.0833,95.4333,95.2333,11/03/2021,SWISS₣
INDIAN Rs.,1.1050,1.0950,1.1020,1.0980,11/03/2021,INDIAN Rs.
PAKISTAN Rs.,0.5095,0.5015,0.5065,0.5045,11/03/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,11/03/2021,IRAN Toman
CNY¥,13.1833,12.7833,13.0833,12.8833,11/03/2021,CNY¥
UAE DIRHAM,24.1250,24.0250,24.1050,24.0450,11/03/2021,UAE DIRHAM
SAUDI RIYAL,23.8125,23.7125,23.7925,23.7325,11/03/2021,SAUDI RIYAL
USD$,91.0625,90.8625,91.0125,90.9125,11/04/2021,USD$
EURO€,104.3000,103.7000,104.1300,103.8700,11/04/2021,EURO€
POUND£,121.4333,120.6333,121.1833,120.8833,11/04/2021,POUND£
SWISS₣,97.0000,96.5000,96.8500,96.6500,11/04/2021,SWISS₣
INDIAN Rs.,1.1015,1.0915,1.0985,1.0945,11/04/2021,INDIAN Rs.
PAKISTAN Rs.,0.5095,0.5015,0.5065,0.5045,11/04/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,11/04/2021,IRAN Toman
CNY¥,13.8500,13.4500,13.7500,13.5500,11/04/2021,CNY¥
UAE DIRHAM,24.2000,24.1000,24.1800,24.1200,11/04/2021,UAE DIRHAM
SAUDI RIYAL,23.8750,23.7750,23.8550,23.7950,11/04/2021,SAUDI RIYAL
USD$,91.1063,90.9063,91.0563,90.9563,11/06/2021,USD$
EURO€,104.1625,103.5625,103.9925,103.7325,11/06/2021,EURO€
POUND£,121.5000,120.7000,121.2500,120.9500,11/06/2021,POUND£
SWISS₣,96.4000,95.9000,96.2500,96.0500,11/06/2021,SWISS₣
INDIAN Rs.,1.1000,1.0900,1.0970,1.0930,11/06/2021,INDIAN Rs.
PAKISTAN Rs.,0.5065,0.4988,0.5038,0.5018,11/06/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,11/06/2021,IRAN Toman
CNY¥,13.2000,12.8000,13.1000,12.9000,11/06/2021,CNY¥
UAE DIRHAM,24.1875,24.0875,24.1675,24.1075,11/06/2021,UAE DIRHAM
SAUDI RIYAL,23.9750,23.8750,23.9550,23.8950,11/06/2021,SAUDI RIYAL
USD$,91.1183,90.9183,91.0683,90.9683,11/07/2021,USD$
EURO€,103.9450,103.3450,103.7750,103.5150,11/07/2021,EURO€
POUND£,121.2000,120.4000,120.9500,120.6500,11/07/2021,POUND£
SWISS₣,96.6000,96.1000,96.4500,96.2500,11/07/2021,SWISS₣
INDIAN Rs.,1.1000,1.0900,1.0970,1.0930,11/07/2021,INDIAN Rs.
PAKISTAN Rs.,0.5046,0.4966,0.5016,0.4996,11/07/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,11/07/2021,IRAN Toman
CNY¥,13.2250,12.8250,13.1250,12.9250,11/07/2021,CNY¥
UAE DIRHAM,24.1938,24.0938,24.1738,24.1138,11/07/2021,UAE DIRHAM
SAUDI RIYAL,23.9917,23.8917,23.9717,23.9117,11/07/2021,SAUDI RIYAL
USD$,91.2825,91.0825,91.2325,91.1325,11/08/2021,USD$
EURO€,104.3250,103.7250,104.1550,103.8950,11/08/2021,EURO€
POUND£,120.3750,119.5750,120.1250,119.8250,11/08/2021,POUND£
SWISS₣,96.8333,96.3333,96.6833,96.4833,11/08/2021,SWISS₣
INDIAN Rs.,1.0967,1.0867,1.0937,1.0897,11/08/2021,INDIAN Rs.
PAKISTAN Rs.,0.5035,0.4955,0.5005,0.4985,11/08/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,11/08/2021,IRAN Toman
CNY¥,13.2125,12.8125,13.1125,12.9125,11/08/2021,CNY¥
UAE DIRHAM,24.1200,24.0200,24.1000,24.0400,11/08/2021,UAE DIRHAM
SAUDI RIYAL,23.9500,23.8500,23.9300,23.8700,11/08/2021,SAUDI RIYAL
USD$,91.4206,91.2206,91.3706,91.2706,11/09/2021,USD$
EURO€,104.5083,103.9083,104.3383,104.0783,11/09/2021,EURO€
POUND£,120.6313,119.8313,120.3813,120.0813,11/09/2021,POUND£
SWISS₣,97.1583,96.6583,97.0083,96.8083,11/09/2021,SWISS₣
INDIAN Rs.,1.0867,1.0767,1.0837,1.0797,11/09/2021,INDIAN Rs.
PAKISTAN Rs.,0.5030,0.4950,0.5000,0.4980,11/09/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,11/09/2021,IRAN Toman
CNY¥,13.1906,12.7906,13.0906,12.8906,11/09/2021,CNY¥
UAE DIRHAM,24.2240,24.1240,24.2040,24.1440,11/09/2021,UAE DIRHAM
SAUDI RIYAL,23.9300,23.8300,23.9100,23.8500,11/09/2021,SAUDI RIYAL
USD$,91.8000,91.6000,91.7500,91.6500,11/10/2021,USD$
EURO€,104.9500,104.3500,104.7800,104.5200,11/10/2021,EURO€
POUND£,121.8000,121.0000,121.5500,121.2500,11/10/2021,POUND£
SWISS₣,97.8000,97.3000,97.6500,97.4500,11/10/2021,SWISS₣
INDIAN Rs.,1.1020,1.0920,1.0990,1.0950,11/10/2021,INDIAN Rs.
PAKISTAN Rs.,0.5031,0.4951,0.5001,0.4981,11/10/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,11/10/2021,IRAN Toman
CNY¥,13.2625,12.8625,13.1625,12.9625,11/10/2021,CNY¥
UAE DIRHAM,24.4100,24.3100,24.3900,24.3300,11/10/2021,UAE DIRHAM
SAUDI RIYAL,24.0200,23.9200,24.0000,23.9400,11/10/2021,SAUDI RIYAL
USD$,91.5250,91.3250,91.4750,91.3750,11/11/2021,USD$
EURO€,104.6000,104.0000,104.4300,104.1700,11/11/2021,EURO€
POUND£,121.0250,120.2250,120.7750,120.4750,11/11/2021,POUND£
SWISS₣,97.8167,97.3167,97.6667,97.4667,11/11/2021,SWISS₣
INDIAN Rs.,1.1088,1.0988,1.1058,1.1018,11/11/2021,INDIAN Rs.
PAKISTAN Rs.,0.5021,0.4941,0.4991,0.4971,11/11/2021,PAKISTAN Rs.
IRAN Toman,0.0035,0.0029,0.0034,0.0030,11/11/2021,IRAN Toman
CNY¥,13.2063,12.8063,13.1063,12.9063,11/11/2021,CNY¥
UAE DIRHAM,24.3700,24.2700,24.3500,24.2900,11/11/2021,UAE DIRHAM
SAUDI RIYAL,23.9983,23.8983,23.9783,23.9183,11/11/2021,SAUDI RIYAL
USD$,91.7833,91.5833,91.7333,91.6333,11/13/2021,USD$
EURO€,103.7800,103.1800,103.6100,103.3500,11/13/2021,EURO€
POUND£,120.6188,119.8188,120.3688,120.0688,11/13/2021,POUND£
SWISS₣,97.3033,96.8033,97.1533,96.9533,11/13/2021,SWISS₣
INDIAN Rs.,1.1038,1.0938,1.1008,1.0968,11/13/2021,INDIAN Rs.
PAKISTAN Rs.,0.5012,0.4932,0.4982,0.4962,11/13/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,11/13/2021,IRAN Toman
CNY¥,13.1891,12.7891,13.0891,12.8891,11/13/2021,CNY¥
UAE DIRHAM,24.4925,24.3925,24.4725,24.4125,11/13/2021,UAE DIRHAM
SAUDI RIYAL,24.1497,24.0497,24.1297,24.0697,11/13/2021,SAUDI RIYAL
USD$,92.9000,92.7000,92.8500,92.7500,11/14/2021,USD$
EURO€,104.9300,104.3300,104.7600,104.5000,11/14/2021,EURO€
POUND£,120.7844,119.9844,120.5344,120.2344,11/14/2021,POUND£
SWISS₣,97.4511,96.9511,97.3011,97.1011,11/14/2021,SWISS₣
INDIAN Rs.,1.1013,1.0913,1.0983,1.0943,11/14/2021,INDIAN Rs.
PAKISTAN Rs.,0.5022,0.4942,0.4992,0.4972,11/14/2021,PAKISTAN Rs.
IRAN Toman,0.0036,0.0030,0.0035,0.0031,11/14/2021,IRAN Toman
CNY¥,13.2946,12.8946,13.1946,12.9946,11/14/2021,CNY¥
UAE DIRHAM,24.4981,24.3981,24.4781,24.4181,11/14/2021,UAE DIRHAM
